REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
ES,2017-Q4,89.9,BKRT,eurostat_bankruptcies_index
ES,2018-Q1,86.0,BKRT,eurostat_bankruptcies_index
ES,2018-Q2,96.6,BKRT,eurostat_bankruptcies_index
ES,2018-Q3,63.0,BKRT,eurostat_bankruptcies_index
ES,2018-Q4,89.5,BKRT,eurostat_bankruptcies_index
ES,2019-Q1,93.0,BKRT,eurostat_bankruptcies_index
ES,2019-Q2,88.1,BKRT,eurostat_bankruptcies_index
ES,2019-Q3,77.6,BKRT,eurostat_bankruptcies_index
ES,2019-Q4,105.0,BKRT,eurostat_bankruptcies_index
ES,2020-Q1,79.6,BKRT,eurostat_bankruptcies_index
ES,2020-Q2,59.6,BKRT,eurostat_bankruptcies_index
ES,2020-Q3,82.5,BKRT,eurostat_bankruptcies_index
ES,2020-Q4,115.8,BKRT,eurostat_bankruptcies_index
ES,2021-Q1,190.5,BKRT,eurostat_bankruptcies_index
ES,2021-Q2,172.0,BKRT,eurostat_bankruptcies_index
ES,2021-Q3,130.9,BKRT,eurostat_bankruptcies_index
ES,2021-Q4,165.4,BKRT,eurostat_bankruptcies_index
ES,2022-Q1,192.5,BKRT,eurostat_bankruptcies_index
ES,2022-Q2,191.0,BKRT,eurostat_bankruptcies_index
ES,2022-Q3,261.1,BKRT,eurostat_bankruptcies_index
ES,2022-Q4,229.6,BKRT,eurostat_bankruptcies_index
ES,2023-Q1,231.4,BKRT,eurostat_bankruptcies_index
ES,2023-Q2,288.0,BKRT,eurostat_bankruptcies_index
ES,2023-Q3,142.5,BKRT,eurostat_bankruptcies_index
ES,2023-Q4,181.4,BKRT,eurostat_bankruptcies_index
FR,2015-Q1,118.3,BKRT,eurostat_bankruptcies_index
FR,2015-Q2,96.4,BKRT,eurostat_bankruptcies_index
FR,2015-Q3,84.2,BKRT,eurostat_bankruptcies_index
FR,2015-Q4,101.2,BKRT,eurostat_bankruptcies_index
FR,2016-Q1,105.4,BKRT,eurostat_bankruptcies_index
FR,2016-Q2,95.9,BKRT,eurostat_bankruptcies_index
FR,2016-Q3,73.6,BKRT,eurostat_bankruptcies_index
FR,2016-Q4,91.5,BKRT,eurostat_bankruptcies_index
FR,2017-Q1,99.3,BKRT,eurostat_bankruptcies_index
FR,2017-Q2,85.9,BKRT,eurostat_bankruptcies_index
FR,2017-Q3,68.1,BKRT,eurostat_bankruptcies_index
FR,2017-Q4,88.7,BKRT,eurostat_bankruptcies_index
FR,2018-Q1,90.7,BKRT,eurostat_bankruptcies_index
FR,2018-Q2,84.1,BKRT,eurostat_bankruptcies_index
FR,2018-Q3,72.8,BKRT,eurostat_bankruptcies_index
FR,2018-Q4,92.5,BKRT,eurostat_bankruptcies_index
FR,2019-Q1,91.9,BKRT,eurostat_bankruptcies_index
FR,2019-Q2,81.1,BKRT,eurostat_bankruptcies_index
FR,2019-Q3,66.1,BKRT,eurostat_bankruptcies_index
FR,2019-Q4,83.6,BKRT,eurostat_bankruptcies_index
FR,2020-Q1,67.1,BKRT,eurostat_bankruptcies_index
FR,2020-Q2,36.7,BKRT,eurostat_bankruptcies_index
FR,2020-Q3,43.0,BKRT,eurostat_bankruptcies_index
FR,2020-Q4,49.8,BKRT,eurostat_bankruptcies_index
FR,2021-Q1,46.3,BKRT,eurostat_bankruptcies_index
FR,2021-Q2,41.4,BKRT,eurostat_bankruptcies_index
FR,2021-Q3,34.1,BKRT,eurostat_bankruptcies_index
FR,2021-Q4,50.7,BKRT,eurostat_bankruptcies_index
