REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
ES,2021-Q3,91.1,REG,eurostat_registrations_index
ES,2021-Q4,101.8,REG,eurostat_registrations_index
ES,2022-Q1,122.2,REG,eurostat_registrations_index
ES,2022-Q2,113.8,REG,eurostat_registrations_index
ES,2022-Q3,85.3,REG,eurostat_registrations_index
ES,2022-Q4,103.6,REG,eurostat_registrations_index
ES,2023-Q1,135.2,REG,eurostat_registrations_index
ES,2023-Q2,125.5,REG,eurostat_registrations_index
ES,2023-Q3,92.5,REG,eurostat_registrations_index
ES,2023-Q4,109.2,REG,eurostat_registrations_index
FR,2015-Q1,105.7,REG,eurostat_registrations_index
FR,2015-Q2,99.0,REG,eurostat_registrations_index
FR,2015-Q3,92.2,REG,eurostat_registrations_index
FR,2015-Q4,103.1,REG,eurostat_registrations_index
FR,2016-Q1,115.1,REG,eurostat_registrations_index
FR,2016-Q2,109.6,REG,eurostat_registrations_index
FR,2016-Q3,95.1,REG,eurostat_registrations_index
FR,2016-Q4,107.7,REG,eurostat_registrations_index
FR,2017-Q1,123.7,REG,eurostat_registrations_index
FR,2017-Q2,111.9,REG,eurostat_registrations_index
FR,2017-Q3,107.1,REG,eurostat_registrations_index
FR,2017-Q4,123.1,REG,eurostat_registrations_index
FR,2018-Q1,141.1,REG,eurostat_registrations_index
FR,2018-Q2,131.5,REG,eurostat_registrations_index
FR,2018-Q3,120.4,REG,eurostat_registrations_index
FR,2018-Q4,137.8,REG,eurostat_registrations_index
FR,2019-Q1,164.9,REG,eurostat_registrations_index
FR,2019-Q2,147.7,REG,eurostat_registrations_index
FR,2019-Q3,140.7,REG,eurostat_registrations_index
FR,2019-Q4,159.1,REG,eurostat_registrations_index
FR,2020-Q1,156.4,REG,eurostat_registrations_index
FR,2020-Q2,119.9,REG,eurostat_registrations_index
FR,2020-Q3,172.7,REG,eurostat_registrations_index
FR,2020-Q4,188.7,REG,eurostat_registrations_index
FR,2021-Q1,203.7,REG,eurostat_registrations_index
FR,2021-Q2,189.8,REG,eurostat_registrations_index
FR,2021-Q3,165.7,REG,eurostat_registrations_index
FR,2021-Q4,184.9,REG,eurostat_registrations_index
FR,2022-Q1,202.2,REG,eurostat_registrations_index
FR,2022-Q2,178.8,REG,eurostat_registrations_index
FR,2022-Q3,175.3,REG,eurostat_registrations_index
FR,2022-Q4,196.0,REG,eurostat_registrations_index
