KEY,FREQ,REF_AREA,FIRM_SIZE,FIRM_SECTOR,FIRM_TURNOVER,FIRM_AGE,FIRM_OWNERSHIP,SAFE_QUESTION,SAFE_ITEM,SAFE_ANSWER,SAFE_FILTER,SAFE_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,COMPILATION,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2015-S1,7.361144,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2015-S2,5.416695,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2016-S1,6.129104,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2016-S2,3.951551,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2017-S1,9.245768,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2017-S2,5.563163,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2018-S1,3.147731,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2018-S2,3.735976,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2019-S1,2.227494,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2019-S2,2.835505,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
