origin_period_sort,origin_period,model_key,model_label,n_test,mae,rmse,features_used,model_family,mae_improvement_vs_naive,mae_improvement_vs_strongest_baseline,beats_naive,beats_strongest_baseline
20232,2023-S2,country_ar1,Country AR(1),12,0.5482898280146157,0.6166384370167256,1,baseline,-0.020603909178883772,-0.08697191698442436,False,False
20232,2023-S2,momentum,Last-change extrapolation,12,0.622787091897421,0.7948370533838828,1,baseline,-0.09510117306168908,-0.16146918086722967,False,False
20232,2023-S2,pooled_lag_ols,Pooled lag OLS,12,0.4613179110301913,0.5303366807984412,20,baseline,0.06636800780554059,0.0,True,False
20232,2023-S2,elastic_net,Elastic Net,12,0.5108098720373343,0.5556715087574174,178,machine learning,0.016876046798397604,-0.04949196100714298,True,False
20232,2023-S2,ridge,Ridge,12,0.45134019716736473,0.48524651924473877,178,machine learning,0.07634572166836717,0.009977713862826587,True,True
20232,2023-S2,random_forest,Random Forest,12,0.5845711979019028,0.64851154807253,178,machine learning,-0.05688527906617091,-0.1232532868717115,False,False
20232,2023-S2,gradient_boosting,Gradient Boosting,12,0.5251241189849928,0.5790717401656859,178,machine learning,0.0025617998507391215,-0.06380620795480146,True,False
20241,2024-S1,naive,Naive current value,12,0.4387841316089193,0.5176480504710143,1,baseline,0.0,-0.026396354967862634,False,False
20241,2024-S1,country_mean,Country historical mean,12,0.6655384382256688,0.8467648381813065,1,baseline,-0.2267543066167495,-0.25315066158461214,False,False
20241,2024-S1,country_ar1,Country AR(1),12,0.4123877766410567,0.47712736928204214,1,baseline,0.026396354967862634,0.0,True,False
20241,2024-S1,momentum,Last-change extrapolation,12,0.7164242277510892,0.8469359853460173,1,baseline,-0.27764009614216983,-0.30403645111003247,False,False
20241,2024-S1,pooled_lag_ols,Pooled lag OLS,12,0.4255494828305379,0.497021208445776,20,baseline,0.01323464877838143,-0.013161706189481204,True,False
20241,2024-S1,elastic_net,Elastic Net,12,0.2891625970465446,0.35046663149302504,178,machine learning,0.1496215345623747,0.12322517959451207,True,True
20241,2024-S1,ridge,Ridge,12,0.3351214595880345,0.39562953274159224,178,machine learning,0.1036626720208848,0.07726631705302217,True,True
20241,2024-S1,random_forest,Random Forest,12,0.26066746943614727,0.302315657866783,178,machine learning,0.17811666217277206,0.15172030720490942,True,True
20241,2024-S1,gradient_boosting,Gradient Boosting,12,0.24863665909965815,0.27135173074450963,178,machine learning,0.19014747250926117,0.16375111754139854,True,True
20242,2024-S2,naive,Naive current value,12,0.3671263607417116,0.41755975161204756,1,baseline,0.0,-0.07671567674239682,False,False
20242,2024-S2,country_mean,Country historical mean,12,0.5983335236786828,0.7083982177577036,1,baseline,-0.23120716293697113,-0.30792283967936795,False,False
20242,2024-S2,country_ar1,Country AR(1),12,0.3504744033429459,0.3808876832009898,1,baseline,0.016651957398765738,-0.06006371934363108,True,False
20242,2024-S2,momentum,Last-change extrapolation,12,0.6050009334147145,0.7358058875229966,1,baseline,-0.23787457267300288,-0.3145902494153997,False,False
20242,2024-S2,pooled_lag_ols,Pooled lag OLS,12,0.2904106839993148,0.3275404857863462,20,baseline,0.07671567674239682,0.0,True,False
20242,2024-S2,elastic_net,Elastic Net,12,0.2942392388470358,0.34002436740701486,178,machine learning,0.07288712189467583,-0.0038285548477209885,True,False
20242,2024-S2,ridge,Ridge,12,0.1932840096003233,0.2558714185641206,178,machine learning,0.17384235114138832,0.0971266743989915,True,True
20242,2024-S2,random_forest,Random Forest,12,0.37859125179728165,0.4191986135233242,178,machine learning,-0.011464891055570026,-0.08818056779796685,False,False
20242,2024-S2,gradient_boosting,Gradient Boosting,12,0.36255739113195423,0.40379246054612994,178,machine learning,0.0045689696097573895,-0.07214670713263943,True,False
