origin_period_sort,origin_period,model_key,model_label,n_test,mae,rmse,features_used,model_family,mae_improvement_vs_naive,mae_improvement_vs_strongest_baseline,beats_naive,beats_strongest_baseline
20151,2015-S1,gradient_boosting,Gradient Boosting,12,0.26167245722525284,0.36858558354541254,130,machine learning,-0.06417622542771845,-0.06417622542771845,False,False
20152,2015-S2,naive,Naive current value,12,0.31194657855216795,0.3672194606698551,1,baseline,0.0,0.0,False,False
20152,2015-S2,country_mean,Country historical mean,12,0.9737086211012649,1.1569442441308837,1,baseline,-0.6617620425490969,-0.6617620425490969,False,False
20152,2015-S2,country_ar1,Country AR(1),12,0.42814049387622216,0.5643195120746336,1,baseline,-0.11619391532405421,-0.11619391532405421,False,False
20152,2015-S2,momentum,Last-change extrapolation,12,0.38854052891271823,0.52108649694394,1,baseline,-0.07659395036055028,-0.07659395036055028,False,False
20152,2015-S2,pooled_lag_ols,Pooled lag OLS,12,0.4437919409852558,0.5362778105773889,20,baseline,-0.13184536243308786,-0.13184536243308786,False,False
20152,2015-S2,elastic_net,Elastic Net,12,0.2544921336546035,0.3165330473291509,146,machine learning,0.05745444489756446,0.05745444489756446,True,True
20152,2015-S2,ridge,Ridge,12,0.29069607633302535,0.35506223117740293,146,machine learning,0.021250502219142597,0.021250502219142597,True,True
20152,2015-S2,random_forest,Random Forest,12,0.21613727379007094,0.2723314491294184,146,machine learning,0.09580930476209701,0.09580930476209701,True,True
20152,2015-S2,gradient_boosting,Gradient Boosting,12,0.24312661248038595,0.29511385677814056,146,machine learning,0.06881996607178201,0.06881996607178201,True,True
20161,2016-S1,naive,Naive current value,12,0.23536238835037396,0.33134319718321137,1,baseline,0.0,0.0,False,False
20161,2016-S1,country_mean,Country historical mean,12,0.8732026069354285,1.014651885104376,1,baseline,-0.6378402185850546,-0.6378402185850546,False,False
20161,2016-S1,country_ar1,Country AR(1),12,0.31641222582535083,0.36179720548654415,1,baseline,-0.08104983747497688,-0.08104983747497688,False,False
20161,2016-S1,momentum,Last-change extrapolation,12,0.46971308353834457,0.6106999371879249,1,baseline,-0.2343506951879706,-0.2343506951879706,False,False
20161,2016-S1,pooled_lag_ols,Pooled lag OLS,12,0.3243989373926851,0.38047333193967137,20,baseline,-0.08903654904231115,-0.08903654904231115,False,False
20161,2016-S1,elastic_net,Elastic Net,12,0.2075345419707438,0.2663607402636724,162,machine learning,0.02782784637963015,0.02782784637963015,True,True
20161,2016-S1,ridge,Ridge,12,0.2496898590925849,0.3197485055870185,162,machine learning,-0.01432747074221094,-0.01432747074221094,False,False
20161,2016-S1,random_forest,Random Forest,12,0.24151344066472125,0.3130172078158246,162,machine learning,-0.006151052314347288,-0.006151052314347288,False,False
20161,2016-S1,gradient_boosting,Gradient Boosting,12,0.21030679639343228,0.2822831075226612,162,machine learning,0.02505559195694168,0.02505559195694168,True,True
20162,2016-S2,naive,Naive current value,12,0.3350657745242797,0.3999490493691256,1,baseline,0.0,0.0,False,False
20162,2016-S2,country_mean,Country historical mean,12,0.9794397061423616,1.1515503644051925,1,baseline,-0.6443739316180819,-0.6443739316180819,False,False
20162,2016-S2,country_ar1,Country AR(1),12,0.40158696056517257,0.47032942234261504,1,baseline,-0.06652118604089285,-0.06652118604089285,False,False
20162,2016-S2,momentum,Last-change extrapolation,12,0.4807135183323086,0.6522566845415735,1,baseline,-0.14564774380802886,-0.14564774380802886,False,False
20162,2016-S2,pooled_lag_ols,Pooled lag OLS,12,0.4614065913536452,0.5104222919004415,20,baseline,-0.1263408168293655,-0.1263408168293655,False,False
20162,2016-S2,elastic_net,Elastic Net,12,0.2574860714988035,0.2993843047063841,178,machine learning,0.07757970302547623,0.07757970302547623,True,True
20162,2016-S2,ridge,Ridge,12,0.24088708880166243,0.3106724354398283,178,machine learning,0.09417868572261728,0.09417868572261728,True,True
20162,2016-S2,random_forest,Random Forest,12,0.17849555636835193,0.22874394667236334,178,machine learning,0.15657021815592778,0.15657021815592778,True,True
20162,2016-S2,gradient_boosting,Gradient Boosting,12,0.18486470467603264,0.23764212821373645,178,machine learning,0.15020106984824708,0.15020106984824708,True,True
20171,2017-S1,naive,Naive current value,12,0.18288485538606783,0.24950115691458896,1,baseline,0.0,0.0,False,False
20171,2017-S1,country_mean,Country historical mean,12,1.0153119100557586,1.1644531604433228,1,baseline,-0.8324270546696908,-0.8324270546696908,False,False
20171,2017-S1,country_ar1,Country AR(1),12,0.32583643574915927,0.3898246682320911,1,baseline,-0.14295158036309144,-0.14295158036309144,False,False
20171,2017-S1,momentum,Last-change extrapolation,12,0.355873735249208,0.47955245413848724,1,baseline,-0.17298887986314018,-0.17298887986314018,False,False
20171,2017-S1,pooled_lag_ols,Pooled lag OLS,12,0.20651690826670813,0.27822822415703,20,baseline,-0.023632052880640297,-0.023632052880640297,False,False
20171,2017-S1,elastic_net,Elastic Net,12,0.15889130878304505,0.17736638585533365,178,machine learning,0.023993546603022775,0.023993546603022775,True,True
20171,2017-S1,ridge,Ridge,12,0.15712002461029087,0.21082454174379792,178,machine learning,0.02576483077577696,0.02576483077577696,True,True
20171,2017-S1,random_forest,Random Forest,12,0.17764938821789075,0.2198774886702626,178,machine learning,0.005235467168177077,0.005235467168177077,True,True
20171,2017-S1,gradient_boosting,Gradient Boosting,12,0.17210857584012237,0.2150674813974966,178,machine learning,0.010776279545945455,0.010776279545945455,True,True
20172,2017-S2,naive,Naive current value,12,0.21536579182201,0.272255944469514,1,baseline,0.0,0.0,False,False
20172,2017-S2,country_mean,Country historical mean,12,1.0161505095803867,1.172806300360883,1,baseline,-0.8007847177583767,-0.8007847177583767,False,False
20172,2017-S2,country_ar1,Country AR(1),12,0.3045032266524463,0.3463070553522187,1,baseline,-0.08913743483043629,-0.08913743483043629,False,False
20172,2017-S2,momentum,Last-change extrapolation,12,0.26623347748123116,0.33670551709119617,1,baseline,-0.05086768565922117,-0.05086768565922117,False,False
20172,2017-S2,pooled_lag_ols,Pooled lag OLS,12,0.23025103406177908,0.2947924695675296,20,baseline,-0.014885242239769086,-0.014885242239769086,False,False
20172,2017-S2,elastic_net,Elastic Net,12,0.21615612614762378,0.2556282218300154,178,machine learning,-0.0007903343256137896,-0.0007903343256137896,False,False
20172,2017-S2,ridge,Ridge,12,0.2129573512048438,0.2654846819789347,178,machine learning,0.002408440617166191,0.002408440617166191,True,True
20172,2017-S2,random_forest,Random Forest,12,0.23940434068791575,0.2844698326974278,178,machine learning,-0.024038548865905757,-0.024038548865905757,False,False
20172,2017-S2,gradient_boosting,Gradient Boosting,12,0.23155718769392086,0.27114082666003764,178,machine learning,-0.016191395871910874,-0.016191395871910874,False,False
20181,2018-S1,naive,Naive current value,12,0.3154633407706889,0.4678745676432582,1,baseline,0.0,0.0,False,False
20181,2018-S1,country_mean,Country historical mean,12,0.8471603043949815,0.9383737755271933,1,baseline,-0.5316969636242925,-0.5316969636242925,False,False
20181,2018-S1,country_ar1,Country AR(1),12,0.3327907342011681,0.45648925971318305,1,baseline,-0.017327393430479232,-0.017327393430479232,False,False
20181,2018-S1,momentum,Last-change extrapolation,12,0.4974507118141265,0.6869894842846248,1,baseline,-0.1819873710434376,-0.1819873710434376,False,False
20181,2018-S1,pooled_lag_ols,Pooled lag OLS,12,0.3364431916676518,0.4610008896608793,20,baseline,-0.020979850896962915,-0.020979850896962915,False,False
20181,2018-S1,elastic_net,Elastic Net,12,0.3001961238160713,0.4801773311027882,178,machine learning,0.01526721695461758,0.01526721695461758,True,True
20181,2018-S1,ridge,Ridge,12,0.2916698269315014,0.49019707041014937,178,machine learning,0.023793513839187486,0.023793513839187486,True,True
20181,2018-S1,random_forest,Random Forest,12,0.3275554858980459,0.48772394623537313,178,machine learning,-0.012092145127357012,-0.012092145127357012,False,False
20181,2018-S1,gradient_boosting,Gradient Boosting,12,0.3767473645544857,0.5297447523353217,178,machine learning,-0.061284023783796826,-0.061284023783796826,False,False
20182,2018-S2,naive,Naive current value,12,0.21890342458157833,0.2880896732708773,1,baseline,0.0,-0.03754068980278524,False,False
20182,2018-S2,country_mean,Country historical mean,12,0.8710325978948341,0.9730750552289158,1,baseline,-0.6521291733132558,-0.6896698631160411,False,False
20182,2018-S2,country_ar1,Country AR(1),12,0.24992989414567005,0.32642223831021494,1,baseline,-0.03102646956409172,-0.06856715936687696,False,False
20182,2018-S2,momentum,Last-change extrapolation,12,0.5033183623341103,0.727849350193397,1,baseline,-0.284414937752532,-0.32195562755531726,False,False
20182,2018-S2,pooled_lag_ols,Pooled lag OLS,12,0.18136273477879308,0.20349315283895178,20,baseline,0.03754068980278524,0.0,True,False
20182,2018-S2,elastic_net,Elastic Net,12,0.11920107702088982,0.14546486744091316,178,machine learning,0.0997023475606885,0.06216165775790326,True,True
20182,2018-S2,ridge,Ridge,12,0.16121839040559158,0.1962284300531497,178,machine learning,0.05768503417598675,0.020144344373201506,True,True
20182,2018-S2,random_forest,Random Forest,12,0.10164789772452461,0.13063261042742141,178,machine learning,0.11725552685705372,0.07971483705426848,True,True
20182,2018-S2,gradient_boosting,Gradient Boosting,12,0.10813315147779483,0.15020044576342373,178,machine learning,0.1107702731037835,0.07322958330099825,True,True
20191,2019-S1,naive,Naive current value,12,0.2096624585265506,0.2547394198873058,1,baseline,0.0,0.0,False,False
20191,2019-S1,country_mean,Country historical mean,12,0.8152613798882009,0.9566229965409855,1,baseline,-0.6055989213616503,-0.6055989213616503,False,False
20191,2019-S1,country_ar1,Country AR(1),12,0.22629111550471004,0.27130480831861803,1,baseline,-0.016628656978159434,-0.016628656978159434,False,False
20191,2019-S1,momentum,Last-change extrapolation,12,0.3368545512682595,0.4349200382678506,1,baseline,-0.12719209274170887,-0.12719209274170887,False,False
20191,2019-S1,pooled_lag_ols,Pooled lag OLS,12,0.23252850485614798,0.3026314316942925,20,baseline,-0.022866046329597378,-0.022866046329597378,False,False
20191,2019-S1,elastic_net,Elastic Net,12,0.1669870784485008,0.22062816070701996,178,machine learning,0.0426753800780498,0.0426753800780498,True,True
20191,2019-S1,ridge,Ridge,12,0.19036094882442187,0.26013136225105327,178,machine learning,0.01930150970212874,0.01930150970212874,True,True
20191,2019-S1,random_forest,Random Forest,12,0.19024429197358536,0.21486415181417304,178,machine learning,0.019418166552965244,0.019418166552965244,True,True
20191,2019-S1,gradient_boosting,Gradient Boosting,12,0.21746886627800702,0.25312852813704906,178,machine learning,-0.007806407751456412,-0.007806407751456412,False,False
20192,2019-S2,naive,Naive current value,12,0.341333126235642,0.4087160803251815,1,baseline,0.0,-0.1055477744694095,False,False
20192,2019-S2,country_mean,Country historical mean,12,0.6334156129424394,0.7635985566114221,1,baseline,-0.29208248670679743,-0.3976302611762069,False,False
20192,2019-S2,country_ar1,Country AR(1),12,0.2357853517662325,0.30017059861885265,1,baseline,0.1055477744694095,0.0,True,False
20192,2019-S2,momentum,Last-change extrapolation,12,0.4643911394000495,0.5387595445308238,1,baseline,-0.12305801316440751,-0.228605787633817,False,False
20192,2019-S2,pooled_lag_ols,Pooled lag OLS,12,0.3345845179076641,0.4206267401309965,20,baseline,0.006748608327977912,-0.09879916614143158,True,False
20192,2019-S2,elastic_net,Elastic Net,12,0.3077916581576103,0.37660223358480166,178,machine learning,0.03354146807803171,-0.07200630639137778,True,False
20192,2019-S2,ridge,Ridge,12,0.33897884073942386,0.4128238549772439,178,machine learning,0.0023542854962181337,-0.10319348897319136,True,False
20192,2019-S2,random_forest,Random Forest,12,0.3014313586916364,0.39424643568179113,178,machine learning,0.039901767544005595,-0.0656460069254039,True,False
20192,2019-S2,gradient_boosting,Gradient Boosting,12,0.28697383867366716,0.36302730156563173,178,machine learning,0.054359287561974834,-0.05118848690743466,True,False
20201,2020-S1,naive,Naive current value,12,0.22845496548495978,0.2856406335769267,1,baseline,0.0,0.0,False,False
20201,2020-S1,country_mean,Country historical mean,12,0.6462204590807086,0.756969599856337,1,baseline,-0.41776549359574877,-0.41776549359574877,False,False
20201,2020-S1,country_ar1,Country AR(1),12,0.2367613515972519,0.3123986123271309,1,baseline,-0.008306386112292119,-0.008306386112292119,False,False
20201,2020-S1,momentum,Last-change extrapolation,12,0.4288057687132625,0.5268767299321946,1,baseline,-0.2003508032283027,-0.2003508032283027,False,False
20201,2020-S1,pooled_lag_ols,Pooled lag OLS,12,0.2370834556217439,0.29239855421199584,20,baseline,-0.008628490136784128,-0.008628490136784128,False,False
20201,2020-S1,elastic_net,Elastic Net,12,0.26675764565718035,0.3415032020844757,178,machine learning,-0.03830268017222058,-0.03830268017222058,False,False
20201,2020-S1,ridge,Ridge,12,0.2885167414321009,0.37618907792862993,178,machine learning,-0.0600617759471411,-0.0600617759471411,False,False
20201,2020-S1,random_forest,Random Forest,12,0.2785405380966272,0.3860900359419555,178,machine learning,-0.050085572611667434,-0.050085572611667434,False,False
20201,2020-S1,gradient_boosting,Gradient Boosting,12,0.3099680175164674,0.41225434903906194,178,machine learning,-0.08151305203150763,-0.08151305203150763,False,False
20202,2020-S2,naive,Naive current value,12,0.31492277851837186,0.4699328689627975,1,baseline,0.0,0.0,False,False
20202,2020-S2,country_mean,Country historical mean,12,0.7451179672881952,0.865581717828699,1,baseline,-0.4301951887698234,-0.4301951887698234,False,False
20202,2020-S2,country_ar1,Country AR(1),12,0.3239817301080074,0.4114014827630213,1,baseline,-0.009058951589635544,-0.009058951589635544,False,False
20202,2020-S2,momentum,Last-change extrapolation,12,0.45545286087899933,0.6729316805349721,1,baseline,-0.14053008236062747,-0.14053008236062747,False,False
20202,2020-S2,pooled_lag_ols,Pooled lag OLS,12,0.3555271254131691,0.4503113738174389,20,baseline,-0.04060434689479725,-0.04060434689479725,False,False
20202,2020-S2,elastic_net,Elastic Net,12,0.32340448697767943,0.37640805161450114,178,machine learning,-0.008481708459307569,-0.008481708459307569,False,False
20202,2020-S2,ridge,Ridge,12,0.30800938165903013,0.3664150649106788,178,machine learning,0.006913396859341725,0.006913396859341725,True,True
20202,2020-S2,random_forest,Random Forest,12,0.258285679854323,0.3122887401327689,178,machine learning,0.05663709866404887,0.05663709866404887,True,True
20202,2020-S2,gradient_boosting,Gradient Boosting,12,0.3100842922450469,0.39302165050466337,178,machine learning,0.004838486273324949,0.004838486273324949,True,True
20211,2021-S1,naive,Naive current value,12,0.24662280933962055,0.30951442251336764,1,baseline,0.0,-0.004308033468594097,False,False
20211,2021-S1,country_mean,Country historical mean,12,0.6051824964510231,0.7570371766118917,1,baseline,-0.3585596871114025,-0.3628677205799966,False,False
20211,2021-S1,country_ar1,Country AR(1),12,0.24231477587102646,0.3056015522120422,1,baseline,0.004308033468594097,0.0,True,False
20211,2021-S1,momentum,Last-change extrapolation,12,0.5202650853715752,0.6431458492988666,1,baseline,-0.2736422760319547,-0.2779503095005488,False,False
20211,2021-S1,pooled_lag_ols,Pooled lag OLS,12,0.25670721132650876,0.3604757608679461,20,baseline,-0.010084401986888203,-0.0143924354554823,False,False
20211,2021-S1,elastic_net,Elastic Net,12,0.1500320776637629,0.2075076145811658,178,machine learning,0.09659073167585766,0.09228269820726356,True,True
20211,2021-S1,ridge,Ridge,12,0.207783912179803,0.23894683901486863,178,machine learning,0.03883889715981756,0.03453086369122346,True,True
20211,2021-S1,random_forest,Random Forest,12,0.22453713546840856,0.26161582594812854,178,machine learning,0.02208567387121199,0.017777640402617895,True,True
20211,2021-S1,gradient_boosting,Gradient Boosting,12,0.18493613510514526,0.24885933268596194,178,machine learning,0.0616866742344753,0.0573786407658812,True,True
20212,2021-S2,naive,Naive current value,12,0.45509695769454744,0.5342357905845166,1,baseline,0.0,-0.04446990417547664,False,False
20212,2021-S2,country_mean,Country historical mean,12,0.5998101659105389,0.752548141553707,1,baseline,-0.14471320821599148,-0.18918311239146812,False,False
20212,2021-S2,country_ar1,Country AR(1),12,0.47758659290606054,0.5422929819623239,1,baseline,-0.022489635211513093,-0.06695953938698973,False,False
20212,2021-S2,momentum,Last-change extrapolation,12,0.4106270535190708,0.5034625529000877,1,baseline,0.04446990417547664,0.0,True,False
20212,2021-S2,pooled_lag_ols,Pooled lag OLS,12,0.6103453919705829,0.6697498694941062,20,baseline,-0.15524843427603546,-0.1997183384515121,False,False
20212,2021-S2,elastic_net,Elastic Net,12,0.4563114253836508,0.5293576965283916,178,machine learning,-0.0012144676891033823,-0.04568437186458002,False,False
20212,2021-S2,ridge,Ridge,12,0.4326834480956527,0.4882846449579104,178,machine learning,0.022413509598894765,-0.022056394576581873,True,False
20212,2021-S2,random_forest,Random Forest,12,0.5357692384846694,0.5898684935471274,178,machine learning,-0.08067228079012195,-0.1251421849655986,False,False
20212,2021-S2,gradient_boosting,Gradient Boosting,12,0.4850338084424907,0.5270413652514591,178,machine learning,-0.029936850747943278,-0.07440675492341992,False,False
