,SME_FPI_equal_z,SME_FPI_fixed_baseline_z,SME_FPI_pca_weighted_z,SME_FPI_reliability_weighted_z,SME_FPI_pca_z
SME_FPI_equal_z,1.0,0.9726758287735218,0.9888157124117843,0.9849521018711287,0.9878677207787935
SME_FPI_fixed_baseline_z,0.9726758287735218,1.0,0.9456677188535254,0.9397021728796732,0.9449250923985043
SME_FPI_pca_weighted_z,0.9888157124117843,0.9456677188535254,1.0,0.9996274424519649,0.9988469738272232
SME_FPI_reliability_weighted_z,0.9849521018711287,0.9397021728796732,0.9996274424519649,1.0,0.9984371383792332
SME_FPI_pca_z,0.9878677207787935,0.9449250923985043,0.9988469738272232,0.9984371383792332,1.0
