REF_AREA,country_name,TIME_PERIOD,period_sort,year,country_name_wb,domestic_credit_private_pct_gdp,gdp_growth_pct,inflation_cpi_pct,unemployment_pct,domestic_credit_private_pct_gdp_change,macro_gdp_slowdown_z,macro_unemployment_z,macro_inflation_z,macro_credit_contraction_z,macro_stress_context_z
AT,Austria,2009-S1,20091,2009,Austria,98.3438510262014,-3.58626472551299,0.506308827696504,5.371,,1.1743265026462117,-0.7388528751898242,-0.6135535044998947,,-0.05935995901450238
AT,Austria,2009-S2,20092,2009,Austria,98.3438510262014,-3.58626472551299,0.506308827696504,5.371,,1.1743265026462117,-0.7388528751898242,-0.6135535044998947,,-0.05935995901450238
AT,Austria,2010-S1,20101,2010,Austria,99.1468795000545,1.80898243043663,1.81353438995061,4.883,0.8030284738530895,-0.1486943699637335,-0.8328521311679393,-0.07241583443474073,-0.494329822694987,-0.38707303956535016
AT,Austria,2010-S2,20102,2010,Austria,99.1468795000545,1.80898243043663,1.81353438995061,4.883,0.8030284738530895,-0.1486943699637335,-0.8328521311679393,-0.07241583443474073,-0.494329822694987,-0.38707303956535016
AT,Austria,2011-S1,20111,2011,Austria,96.672569255418,2.92746800169145,3.2865791487538,4.637,-2.4743102446364986,-0.4229690628017353,-0.8802370020093663,0.537364169641936,0.00694183398973966,-0.1897250152948565
AT,Austria,2011-S2,20112,2011,Austria,96.672569255418,2.92746800169145,3.2865791487538,4.637,-2.4743102446364986,-0.4229690628017353,-0.8802370020093663,0.537364169641936,0.00694183398973966,-0.1897250152948565
AT,Austria,2012-S1,20121,2012,Austria,94.8379795773965,0.628246239479637,2.48567562177014,4.909,-1.8345896780215014,0.14084540097324985,-0.8278439740871382,0.20582301786735394,-0.09090395364071287,-0.14301987722181184
AT,Austria,2012-S2,20122,2012,Austria,94.8379795773965,0.628246239479637,2.48567562177014,4.909,-1.8345896780215014,0.14084540097324985,-0.8278439740871382,0.20582301786735394,-0.09090395364071287,-0.14301987722181184
AT,Austria,2013-S1,20131,2013,Austria,93.3411391388064,-0.250726423318454,2.00015616900597,5.367,-1.4968404385900982,0.35638681098132113,-0.739623360894563,0.004837913975207273,-0.1425629780310305,-0.1302404034922663
AT,Austria,2013-S2,20132,2013,Austria,93.3411391388064,-0.250726423318454,2.00015616900597,5.367,-1.4968404385900982,0.35638681098132113,-0.739623360894563,0.004837913975207273,-0.1425629780310305,-0.1302404034922663
