REF_AREA,country_name,TIME_PERIOD,origin_period_sort,forecast_target_period,risk_tier,risk_score,confidence,agreement_quality,signal_type,current_score,gap_value,best_model_label,best_model_forecast,best_model_delta,actual_next_score,actual_delta,forecast_abs_error,forecast_hit_direction,realized_direction,forecast_direction,ml_median_forecast,ml_min_forecast,ml_max_forecast,forecast_range,ml_model_agreement_rising,ml_model_count,components_available,availability_pressure_z,cost_pressure_z,salience_pressure_z,primary_drivers,recommended_read
GR,Greece,2013-S2,20132,2014-S1,Alert,7.0,High,High,High pressure + rising forecast,2.3653438177810173,3.2023118071668426,Ridge,2.4865946763951774,0.12125085861416007,3.224915641251365,0.8595718234703478,0.7383209648561877,1.0,Rising,Rising,2.498317053024155,2.335000451929301,2.695238435575512,0.36023798364621085,0.75,4,6,2.102684754994504,-0.4021939992662954,4.375520699769598,Finance salience; Access to finance is the main problem; SME-FPI is high relative to CISS,Immediate watchlist: inspect drivers and compare with local SME policy context.
NL,Netherlands,2013-S2,20132,2014-S1,Alert,6.5,Low,Low,Visible or hidden high pressure,1.482100861187252,2.319068850573077,Ridge,1.56224566164201,0.08014480045475803,1.5268508579281217,0.04474999674086977,0.035394803713888257,1.0,Rising,Rising,1.4643546292509482,1.2785956700140604,1.56224566164201,0.28364999162794957,0.5,4,6,2.3012151444069495,-0.7471125472887643,0.7919067119435794,Bank loan rejection pressure; SME-FPI is high relative to CISS; BLS credit standards tightening,Immediate watchlist: inspect drivers and compare with local SME policy context.
IT,Italy,2013-S2,20132,2014-S1,Alert,6.5,Low,Low,Visible or hidden high pressure,1.1642384587556378,2.0012064481414638,Ridge,1.1364055892946503,-0.027832869460987508,1.2077648155241811,0.04352635676854333,0.07135922622953084,0.0,Rising,Easing,1.1525383070307886,1.068029881312027,1.1756177283481004,0.10758784703607338,0.5,4,6,1.3037053152389608,0.0626859175970293,0.8412471822862084,SME-FPI is high relative to CISS; Limited loan amount; Access/availability pressure,Immediate watchlist: inspect drivers and compare with local SME policy context.
IE,Ireland,2013-S2,20132,2014-S1,Alert,6.0,High,High,Visible or hidden high pressure,1.6669186263202451,2.50388661570607,Ridge,1.2234109327929419,-0.44350769352730324,1.031905650425782,-0.6350129758944631,0.1915052823671599,1.0,Easing,Easing,1.2164269193640629,1.1242185802356275,1.3226861081104613,0.1984675278748338,0.0,4,6,0.9267378506387031,1.2796605259817802,1.6313812048231446,SME-FPI is high relative to CISS; Loan cost too high; Limited loan amount,Immediate watchlist: inspect drivers and compare with local SME policy context.
ES,Spain,2013-S2,20132,2014-S1,Alert,5.5,High,High,High pressure + rising forecast,0.8510032971538357,1.687971286539661,Ridge,0.8642279246720124,0.013224627518176657,1.0933815135514957,0.24237821639766,0.22915358887948334,1.0,Rising,Rising,0.9717691755779606,0.8406202674893791,1.1664610477912665,0.32584078030188734,0.75,4,6,0.8165151696546978,0.12065848836900378,0.8825484108020961,SME-FPI is high relative to CISS; Limited loan amount; Small-loan spread pressure,Immediate watchlist: inspect drivers and compare with local SME policy context.
PT,Portugal,2013-S2,20132,2014-S1,Alert,5.0,Low,Low,Visible or hidden high pressure,0.8788021686400442,1.7157701580258695,Ridge,0.44343158979350633,-0.4353705788465379,0.1226107492535425,-0.7561914193865017,0.32082084053996385,1.0,Easing,Easing,0.8597617701170315,0.44343158979350633,1.165739484330521,0.7223078945370147,0.5,4,6,0.6129051466840617,0.35677324778823527,1.13690460248662,SME-FPI is high relative to CISS; MIR small-loan rate pressure; Finance salience,Immediate watchlist: inspect drivers and compare with local SME policy context.
FR,France,2013-S2,20132,2014-S1,Watch,3.0,High,High,High pressure + rising forecast,0.1758740157340614,1.0128420051198868,Ridge,0.19885779244406476,0.022983776710003373,-0.0697112610134308,-0.2455852767474922,0.26856905345749554,0.0,Easing,Rising,0.20319324381409232,0.05979045272065588,0.22357066384367086,0.16378021112301497,0.75,4,6,0.44638284592124317,-0.3730203840201987,0.1690370946347962,SME-FPI is high relative to CISS; Bank willingness deteriorated; Access/availability pressure,Watch closely: pressure is visible or forecast to rise.
BE,Belgium,2013-S2,20132,2014-S1,Watch,3.0,High,High,High pressure + rising forecast,-0.1053482598920102,0.731619729493815,Ridge,0.029062406155122233,0.13441066604713242,-0.587171499917374,-0.48182324002536386,0.6162339060724963,0.0,Easing,Rising,0.05360877067086939,-0.09118773833279104,0.11484335817923608,0.2060310965120271,1.0,4,6,0.06913317898129372,-0.19259538223532052,-0.2310850039381351,SME-FPI is high relative to CISS; Bank loan rejection pressure; Best recent ML model expects rising H+1 pressure,Watch closely: pressure is visible or forecast to rise.
FI,Finland,2013-S2,20132,2014-S1,Monitor,2.5,Low,Low,Mixed monitor,-0.2539184473420139,0.5830495420438113,Ridge,-0.0387776940772987,0.2151407532647152,0.0049544660856757,0.2588729134276896,0.0437321601629744,1.0,Rising,Rising,-0.30541646790029564,-0.49441077986586357,-0.0387776940772987,0.4556330857885649,0.5,4,6,-0.5011950458890063,0.366380645909616,-0.256704742821084,SME-FPI is high relative to CISS; Interest rates increased; Best recent ML model expects rising H+1 pressure,Monitor: at least one warning signal is present; check its signal type.
AT,Austria,2013-S2,20132,2014-S1,Monitor,2.0,High,High,Mixed monitor,-0.4362998781128153,0.4006681112730099,Ridge,-0.37532726508737224,0.060972613025443045,-0.6309023360137359,-0.19460245790092062,0.25557507092636367,0.0,Easing,Rising,-0.3714474972892059,-0.3827319786913723,-0.36626825575500865,0.016463722936363667,1.0,4,6,-0.04278997482266339,-0.6229370325450436,-0.4127283609661749,SME-FPI is high relative to CISS; Limited loan amount; Bank willingness deteriorated,Monitor: at least one warning signal is present; check its signal type.
DE,Germany,2013-S2,20132,2014-S1,Normal,1.0,High,High,Below-threshold rising signal,-0.9811024216828363,-0.1441344322970111,Ridge,-0.9696608915382525,0.011441530144583822,-0.3824312486383218,0.5986711730445146,0.5872296428999307,1.0,Rising,Rising,-0.9588469975077084,-0.9696608915382525,-0.916176861052956,0.053484030485296485,1.0,4,6,-0.5910006388234913,-0.8011901405964645,-0.6801703005687181,Small-loan spread pressure; Limited loan amount; Bank willingness deteriorated,Normal: no major warning signal in the current diagnostic rules.
IT,Italy,2014-S1,20141,2014-S2,Alert,6.5,Low,Low,Visible or hidden high pressure,1.2077648155241811,2.134306239604175,Ridge,1.0430609051548372,-0.16470391036934395,0.3406675152685638,-0.8670973002556173,0.7023933898862733,1.0,Easing,Easing,1.1417080257116918,1.0169689254173964,1.246983650573851,0.2300147251564546,0.5,4,6,1.1638449339622639,0.5092011864996411,0.5490433240241022,SME-FPI is high relative to CISS; Limited loan amount; Access/availability pressure,Immediate watchlist: inspect drivers and compare with local SME policy context.
GR,Greece,2014-S1,20141,2014-S2,Alert,6.0,High,High,Visible or hidden high pressure,3.224915641251365,4.15145706533136,Ridge,2.585195711588226,-0.6397199296631393,2.8598746030961246,-0.36504103815524047,0.2746788915078988,1.0,Easing,Easing,2.3383671440151472,2.044689677795732,2.585195711588226,0.5405060337924938,0.0,4,6,2.2724115721372224,1.7433309595115105,3.1545826767351297,SME-FPI is high relative to CISS; Loan cost too high; Limited loan amount,Immediate watchlist: inspect drivers and compare with local SME policy context.
NL,Netherlands,2014-S1,20141,2014-S2,Alert,6.0,High,High,Visible or hidden high pressure,1.5268508579281217,2.4533922820081155,Ridge,1.4162650095680647,-0.11058584836005703,0.3110929211708583,-1.2157579367572633,1.1051720883972065,1.0,Easing,Easing,1.3906049384063863,1.2615791095368427,1.4690458678519749,0.20746675831513217,0.0,4,6,1.9014244202603603,0.0879421801858873,0.507510252204597,Bank loan rejection pressure; SME-FPI is high relative to CISS; Access/availability pressure,Immediate watchlist: inspect drivers and compare with local SME policy context.
ES,Spain,2014-S1,20141,2014-S2,Alert,5.0,High,High,Visible or hidden high pressure,1.0933815135514957,2.0199229376314896,Ridge,0.7087609593759421,-0.38462055417555363,0.0062676205824293,-1.0871138929690665,0.7024933387935128,1.0,Easing,Easing,0.8479828103318694,0.7087609593759421,1.0137950995133416,0.3050341401373995,0.0,4,6,1.16021634446546,0.0591696905721885,0.9836953211712876,Limited loan amount; SME-FPI is high relative to CISS; Access/availability pressure,Immediate watchlist: inspect drivers and compare with local SME policy context.
IE,Ireland,2014-S1,20141,2014-S2,Alert,5.0,High,High,Visible or hidden high pressure,1.031905650425782,1.958447074505776,Ridge,0.9289675853231181,-0.1029380651026639,0.5458939269209159,-0.4860117235048661,0.3830736584022022,1.0,Easing,Easing,0.8954748575307063,0.8125966790846897,1.1549453790960598,0.3423487000113701,0.25,4,6,0.445884209436328,0.9797439798214591,1.0295551310076572,SME-FPI is high relative to CISS; Loan cost too high; Small-loan spread pressure,Immediate watchlist: inspect drivers and compare with local SME policy context.
SK,Slovakia,2014-S1,20141,2014-S2,Watch,4.0,High,High,High pressure + rising forecast,-0.435925306877103,0.4906161172028909,Ridge,-0.04124876774609121,0.3946765391310118,-0.2750175134496281,0.1609077934274749,0.2337687457035369,1.0,Rising,Rising,-0.23214155768511516,-0.4281702727042102,-0.04124876774609121,0.386921504958119,1.0,4,6,0.20616933827708392,-0.9502756641362808,-0.5033693070866926,Small-loan spread pressure; SME-FPI is high relative to CISS; Best recent ML model expects rising H+1 pressure,Watch closely: pressure is visible or forecast to rise.
FR,France,2014-S1,20141,2014-S2,Watch,3.5,High,High,High pressure + rising forecast,-0.0697112610134308,0.8568301630665631,Ridge,0.03371367589499119,0.10342493690842199,-0.7091195615025808,-0.63940830048915,0.742833237397572,0.0,Easing,Rising,0.0009615677831107117,-0.07853205607776008,0.08353260228596138,0.16206465836372147,0.75,4,6,0.13819081730727167,-0.37203928268175906,0.0690238076917347,SME-FPI is high relative to CISS; Bank willingness deteriorated; Best recent ML model expects rising H+1 pressure,Watch closely: pressure is visible or forecast to rise.
BE,Belgium,2014-S1,20141,2014-S2,Watch,3.0,High,High,Forward-looking warning,-0.587171499917374,0.3393699241626199,Ridge,-0.22351479239911942,0.36365670751825463,-0.8216217938930809,-0.23445029397570682,0.5981070014939615,0.0,Easing,Rising,-0.24123376783350436,-0.45208891832781245,-0.2158059573954149,0.23628296093239756,1.0,4,6,-0.20244625666927907,-0.9357276166010642,0.0635860283887028,Best recent ML model expects rising H+1 pressure; Bank willingness deteriorated; Finance salience,Watch closely: pressure is visible or forecast to rise.
PT,Portugal,2014-S1,20141,2014-S2,Monitor,2.0,High,High,Hidden-gap monitor,0.1226107492535425,1.0491521733335365,Ridge,0.11703473680614407,-0.005576012447398429,-0.5452243490447719,-0.6678350982983144,0.662259085850916,1.0,Easing,Easing,0.11521047194914888,-0.17974072356107743,0.219558877293494,0.3992996008545714,0.25,4,6,-0.21462473338678367,0.12575888308289462,0.9327108710393694,MIR small-loan rate pressure; SME-FPI is high relative to CISS; Finance salience,Monitor: at least one warning signal is present; check its signal type.
AT,Austria,2014-S1,20141,2014-S2,Monitor,2.0,High,High,Rising-forecast monitor,-0.6309023360137359,0.295639088066258,Ridge,-0.45825980825459434,0.17264252775914157,-0.3105372074044956,0.3203651286092403,0.14772260085009875,1.0,Rising,Rising,-0.41462770058108533,-0.45825980825459434,-0.32167888948019496,0.13658091877439937,1.0,4,6,-0.08882582640498309,-0.8869036929367435,-0.5570201057578135,Best recent ML model expects rising H+1 pressure; BLS credit standards tightening; Bank willingness deteriorated,Monitor: at least one warning signal is present; check its signal type.
FI,Finland,2014-S1,20141,2014-S2,Monitor,1.5,High,High,Hidden-gap monitor,0.0049544660856757,0.9314958901656696,Ridge,-0.07980615073833397,-0.08476061682400968,-0.6630866540055291,-0.6680411200912049,0.5832805032671952,1.0,Easing,Easing,-0.12098460802423526,-0.16736724307399645,-0.0026451924716379693,0.16472205060235848,0.0,4,6,-0.3077632590524162,0.5165424096635378,-0.0593661963285284,SME-FPI is high relative to CISS; Loan cost too high; Cost pressure,Monitor: at least one warning signal is present; check its signal type.
DE,Germany,2014-S1,20141,2014-S2,Normal,1.0,High,High,Below-threshold hidden gap,-0.3824312486383218,0.5441101754416722,Ridge,-0.5698280855230919,-0.18739683688477016,-0.8850327722368098,-0.502601523598488,0.3152046867137178,1.0,Easing,Easing,-0.5534560563828015,-0.5817208642863667,-0.40656314292549967,0.17515772136086705,0.0,4,6,-0.12032664583065478,-0.45095865685568465,-0.2997639156592721,SME-FPI is high relative to CISS; BLS credit standards tightening; Loan cost too high,Normal: no major warning signal in the current diagnostic rules.
GR,Greece,2014-S2,20142,2015-S1,Alert,6.0,High,High,Visible or hidden high pressure,2.8598746030961246,3.744093133541951,Ridge,2.4599262102139203,-0.3999483928822043,1.5761442855946457,-1.283730317501479,0.8837819246192746,1.0,Easing,Easing,2.4665483693179238,2.24262051888624,2.544206865606329,0.301586346720089,0.0,4,6,2.0761461881603007,1.126669977491432,3.456654930160962,SME-FPI is high relative to CISS; Finance salience; Access to finance is the main problem,Immediate watchlist: inspect drivers and compare with local SME policy context.
NL,Netherlands,2014-S2,20142,2015-S1,Watch,4.5,High,High,High pressure + rising forecast,0.3110929211708583,1.1953114516166847,Ridge,0.5509352715512155,0.23984235038035717,0.5374258499161008,0.22633292874524247,0.013509421635114705,1.0,Rising,Rising,0.5863702064387939,0.47790055543186305,0.7540578209262153,0.27615726549435227,1.0,4,6,0.761199191430782,-0.7633522696375088,0.5683089003643299,Bank loan rejection pressure; SME-FPI is high relative to CISS; Access/availability pressure,Watch closely: pressure is visible or forecast to rise.
IE,Ireland,2014-S2,20142,2015-S1,Watch,4.0,High,High,Visible or hidden high pressure,0.5458939269209159,1.4301124573667423,Ridge,0.4341565968466562,-0.11173733007425968,-0.4557957504405107,-1.0016896773614266,0.8899523472871669,1.0,Easing,Easing,0.4436418358266105,0.34574540321841724,0.5938770426753527,0.24813163945693545,0.25,4,6,0.7683045887180716,-0.2913847828441185,0.5807787580517649,SME-FPI is high relative to CISS; Small-loan spread pressure; MIR small-loan rate pressure,Watch closely: pressure is visible or forecast to rise.
IT,Italy,2014-S2,20142,2015-S1,Monitor,2.5,High,High,Hidden-gap monitor,0.3406675152685638,1.2248860457143904,Ridge,0.3261368410457088,-0.014530674222855033,-0.1485617740201642,-0.489229289288728,0.47469861506587296,1.0,Easing,Easing,0.25962440304931056,-0.10292838177192848,0.32668542729719313,0.4296138090691216,0.0,4,6,0.4477543515759268,-0.14936368618029483,0.4038160764476062,SME-FPI is high relative to CISS; Limited loan amount; Access/availability pressure,Monitor: at least one warning signal is present; check its signal type.
FI,Finland,2014-S2,20142,2015-S1,Monitor,2.0,High,High,Rising-forecast monitor,-0.6630866540055291,0.2211318764402974,Ridge,-0.5282217659407531,0.13486488806477603,-0.9602784656065748,-0.2971918116010457,0.4320566996658217,0.0,Easing,Rising,-0.5365981244733864,-0.6545921371295169,-0.4408159051389734,0.21377623199054352,1.0,4,6,-0.4686714501661729,-0.4830864106659982,-0.3591346198353599,BLS credit standards tightening; Best recent ML model expects rising H+1 pressure; Limited loan amount,Monitor: at least one warning signal is present; check its signal type.
FR,France,2014-S2,20142,2015-S1,Monitor,2.0,High,High,Rising-forecast monitor,-0.7091195615025808,0.1750989689432457,Ridge,-0.5594590898002083,0.1496604717023725,-0.3871939729088499,0.32192558859373094,0.17226511689135843,1.0,Rising,Rising,-0.5245385997558194,-0.5871425905267816,-0.413676035677747,0.17346655484903462,1.0,4,6,-0.26275704191131105,-0.9674575280262563,-0.1998185256836989,Best recent ML model expects rising H+1 pressure; Bank willingness deteriorated; Bank loan rejection pressure,Monitor: at least one warning signal is present; check its signal type.
BE,Belgium,2014-S2,20142,2015-S1,Monitor,2.0,High,High,Rising-forecast monitor,-0.8216217938930809,0.0625967365527456,Ridge,-0.6653447290557843,0.15627706483729653,-0.632577583782321,0.1890442101107599,0.03276714527346336,1.0,Rising,Rising,-0.6515621104415441,-0.6653447290557843,-0.6377027493109282,0.02764197974485616,1.0,4,6,-0.4729967280988813,-0.7563677822740041,-0.4597428708926399,Best recent ML model expects rising H+1 pressure; Bank willingness deteriorated; Finance salience,Monitor: at least one warning signal is present; check its signal type.
ES,Spain,2014-S2,20142,2015-S1,Monitor,1.5,Medium,Medium,Hidden-gap monitor,0.0062676205824293,0.8904861510282559,Ridge,-0.1633324634313782,-0.1696000840138075,-0.3262283082909618,-0.3324959288733911,0.16289584485958358,1.0,Easing,Easing,-0.18493212845150997,-0.5887198019863047,-0.025499449904535343,0.5632203520817693,0.0,4,6,0.214758614155001,-0.4679827576767593,0.3475865479403381,Limited loan amount; SME-FPI is high relative to CISS; MIR small-loan rate pressure,Monitor: at least one warning signal is present; check its signal type.
SK,Slovakia,2014-S2,20142,2015-S1,Normal,1.0,High,High,Below-threshold hidden gap,-0.2750175134496281,0.6092010169961983,Ridge,-0.5246050027835776,-0.24958748933394947,-0.8623573468500152,-0.5873398334003871,0.3377523440664376,1.0,Easing,Easing,-0.5301611177817913,-0.5526386301430074,-0.5168870472662441,0.03575158287676328,0.0,4,6,-0.4953447880354256,0.11501960348972073,0.1406091913736784,Loan cost too high; Small-loan spread pressure; SME-FPI is high relative to CISS,Normal: no major warning signal in the current diagnostic rules.
AT,Austria,2014-S2,20142,2015-S1,Normal,1.0,High,High,Below-threshold hidden gap,-0.3105372074044956,0.5736813230413309,Ridge,-0.6499593949664961,-0.33942218756200054,-0.579672788122734,-0.26913558071823845,0.07028660684376209,1.0,Easing,Easing,-0.5113992941657429,-0.6499593949664961,-0.43719981487669946,0.21275958008979667,0.0,4,6,0.0490303662770523,-0.4239970225829347,-0.5623884826173601,SME-FPI is high relative to CISS; Limited loan amount; Access/availability pressure,Normal: no major warning signal in the current diagnostic rules.
PT,Portugal,2014-S2,20142,2015-S1,Normal,1.0,High,High,Below-threshold rising signal,-0.5452243490447719,0.3389941814010546,Ridge,-0.4972426908562837,0.04798165818848821,-0.7171859606725406,-0.17196161162776868,0.2199432698162569,0.0,Easing,Rising,-0.5192000875166392,-0.6542986195355975,-0.37218536247918743,0.2821132570564101,0.75,4,6,-0.5171149371311046,-0.38595405614119577,0.0827146064131565,MIR small-loan rate pressure; Small-loan spread pressure; Finance salience,Normal: no major warning signal in the current diagnostic rules.
DE,Germany,2014-S2,20142,2015-S1,Normal,1.0,High,High,Normal,-0.8850327722368098,-0.0008142417909832,Ridge,-0.9213210035292394,-0.03628823129242964,-0.9112291547443834,-0.026196382507573612,0.010091848784856028,1.0,Easing,Easing,-0.7391813641737356,-0.9213210035292394,-0.6708942227762862,0.2504267807529532,0.75,4,6,-0.6082518404004942,-0.6142060186868024,-0.6023469770910618,BLS credit standards tightening; Loan cost too high; Limited loan amount,Normal: no major warning signal in the current diagnostic rules.
GR,Greece,2015-S1,20151,2015-S2,Alert,7.0,High,High,High pressure + rising forecast,1.5761442855946457,1.9570655603339264,Ridge,1.742990350898528,0.16684606530388235,1.16022507150927,-0.4159192140853758,0.5827652793892582,0.0,Easing,Rising,1.858262138723199,1.742990350898528,2.1757827385096418,0.4327923876111137,1.0,4,6,1.0874167792971132,0.1859469558016661,2.958783479450035,Finance salience; Access to finance is the main problem; SAFE cube access-finance severity,Immediate watchlist: inspect drivers and compare with local SME policy context.
NL,Netherlands,2015-S1,20151,2015-S2,Monitor,2.5,High,High,Hidden-gap monitor,0.5374258499161008,0.9183471246553816,Ridge,0.3015116044654068,-0.23591424545069395,0.0713593845650624,-0.46606646535103835,0.2301522199003444,1.0,Easing,Easing,0.3758851953559132,0.3015116044654068,0.46038233837688225,0.15887073391147544,0.0,4,6,0.7592786442355436,-0.1648697587639233,0.3195651231985502,Bank loan rejection pressure; SME-FPI is high relative to CISS; Eurostat bankruptcy-registration gap,Monitor: at least one warning signal is present; check its signal type.
SK,Slovakia,2015-S1,20151,2015-S2,Normal,1.0,High,High,Below-threshold rising signal,-0.8623573468500152,-0.4814360721107342,Ridge,-0.8401079445475956,0.022249402302419563,-0.3394122373775523,0.5229451094724629,0.5006957071700433,1.0,Rising,Rising,-0.8042422864164156,-0.8401079445475956,-0.7129325194824768,0.1271754250651188,1.0,4,6,-0.6759720087694195,-0.571001022124089,-0.3911750633001198,Small-loan spread pressure; MIR small-loan rate pressure; Bank loan rejection pressure,Normal: no major warning signal in the current diagnostic rules.
FI,Finland,2015-S1,20151,2015-S2,Normal,1.0,High,High,Below-threshold rising signal,-0.9602784656065748,-0.5793571908672939,Ridge,-0.947146926782994,0.013131538823580868,-0.750951451507551,0.20932701409902377,0.1961954752754429,1.0,Rising,Rising,-0.8558052063061696,-0.947146926782994,-0.7773706464989156,0.16977628028407832,1.0,4,6,-0.7079291108768372,-0.6489084445422117,-0.5472364688927482,BLS credit standards tightening; BLS terms and conditions pressure; Limited loan amount,Normal: no major warning signal in the current diagnostic rules.
DE,Germany,2015-S1,20151,2015-S2,Normal,0.5,Low,Low,Normal,-0.9112291547443834,-0.5303078800051024,Ridge,-1.1431992668769568,-0.23197011213257346,-0.9149652163774344,-0.0037360616330510688,0.2282340504995224,1.0,Easing,Easing,-0.9272486554983859,-1.1431992668769568,-0.7917825759120627,0.35141669096489414,0.5,4,6,-0.7304748701906164,-0.5344388562808646,-0.5042950242775659,Broad SAFE problem pressure; BLS credit standards tightening; BLS terms and conditions pressure,Normal: no major warning signal in the current diagnostic rules.
IT,Italy,2015-S1,20151,2015-S2,Normal,0.0,High,High,Normal,-0.1485617740201642,0.2323595007191167,Ridge,-0.2942504487685209,-0.1456886747483567,-0.1377636294365453,0.010798144583618913,0.1564868193319756,0.0,Rising,Easing,-0.30565666877579273,-0.4628774330114095,-0.2748660929786211,0.1880113400327884,0.0,4,6,-0.0520421248561464,-0.3429143489126637,0.2531359948081029,Broad SAFE problem pressure; SAFE cube access-finance severity; Finance salience,Normal: no major warning signal in the current diagnostic rules.
