component,component_label,equal_weight,pca_weight,reliability_weight,PC1_loading,PC2_loading,reliability_corr,coverage,reliability_score
access_finance_main_problem,Access to finance is the most pressing problem,0.16666666666666666,0.21824010767896007,0.23148898330621465,0.5150465435153491,-0.2484218811190279,0.7360006214981342,1.0,0.7360006214981342
bank_loan_rejected,Bank loan application rejected,0.16666666666666666,0.18290125982895217,0.17476524817217412,0.4316468804995297,-0.19082736667360164,0.5556520635837214,1.0,0.5556520635837214
bank_loan_cost_too_high,Bank loan offer refused because cost was too high,0.16666666666666666,0.09581725561266044,0.0867465569107518,0.22612867468441583,0.7273153717841869,0.27580370731803444,1.0,0.27580370731803444
bank_loan_limited_amount,Bank loan only granted for a limited amount,0.16666666666666666,0.1632375866227662,0.1577433860996732,0.3852406216987426,-0.19964552767769003,0.5318448199531722,0.9430051813471503,0.5015324208884837
bank_willingness_deteriorated,Banks' willingness to provide credit deteriorated,0.16666666666666666,0.2194185843011262,0.23866028029406225,0.5178277477463935,-0.0767343914279933,0.75880118403299,1.0,0.75880118403299
interest_rates_increased,Interest rates increased,0.16666666666666666,0.12038520595553474,0.1105955452171241,0.28410902504223434,0.5719592044251091,0.3516296492911466,1.0,0.3516296492911466
